recipe,model,ratio,k,macro_f1,accuracy,high_recall,high_precision
acc+gyro|all|+anthro,PSPFL r=0.0,0.0,,0.8330713427919044,0.854592504571704,0.5727147090578618,0.5068471836085453
acc+gyro|all|+anthro,KNN (centralized),,11.0,0.830323969368319,0.8678705653674187,0.47591568992942784,0.55926023127915
acc+gyro|all|+anthro,PSPFL r=0.1,0.1,,0.8099078648045147,0.8516178475921771,0.38980455582231116,0.5791784471277713
acc+gyro|all|+anthro,PSPFL r=0.3,0.3,,0.5872861989816982,0.7539924522904149,0.028168034543867564,0.4063492063492063
acc+gyro|all|+anthro,PSPFL r=0.5,0.5,,0.5598896459700688,0.7448266839237311,0.0,0.0
acc+gyro|mean|+anthro,KNN (centralized),,5.0,0.7967913670771295,0.8384895304989956,0.43977713157127984,0.49049031581936725
acc+gyro|mean|+anthro,PSPFL r=0.1,0.1,,0.7835895897001824,0.8166600048201608,0.4357846924281238,0.48182825381121414
acc+gyro|mean|+anthro,PSPFL r=0.0,0.0,,0.7589844756240828,0.7934940709090613,0.5299630997900565,0.41689582439799133
acc+gyro|mean|+anthro,PSPFL r=0.3,0.3,,0.6259424601339487,0.7663957727675792,0.08873883562680242,0.38031632218019096
acc+gyro|mean|+anthro,PSPFL r=0.5,0.5,,0.5603778915558449,0.7449770598635806,0.00045495905368516835,0.07142857142857142
