mode,k,n_features,macro_f1,accuracy,f1_task0,f1_task1,f1_task2,f1_task3,sensors,stats,anthro,recipe
distance,5,31,0.4837601112715626,0.5963860933211345,0.45526633096286223,0.5359529811058539,0.4667875267893264,0.46922296438250094,acc,all,True,acc|all|+anthro
distance,9,13,0.47378622703580814,0.6013723696248856,0.48353186181587676,0.5029431167815299,0.4230802289630662,0.47239170018733034,acc,rms,True,acc|rms|+anthro
distance,3,22,0.4653016017433585,0.5802378774016469,0.48856927151389273,0.4961786273949318,0.40628976428369673,0.452048967387521,acc+gyro,rms,True,acc+gyro|rms|+anthro
distance,3,58,0.4484659038931178,0.5738334858188472,0.4332708068782796,0.517138389971639,0.4168099192239217,0.4037277685005726,acc+gyro,all,True,acc+gyro|all|+anthro
distance,3,13,0.44782272555592356,0.5855901189387008,0.42854460201769545,0.4619182069780112,0.4413813449805435,0.445716787730541,acc,std,True,acc|std|+anthro
distance,5,22,0.44021614249572427,0.5765324794144556,0.42783072695208557,0.47948773829181807,0.4096567098141957,0.4290081580273693,acc+gyro,std,True,acc+gyro|std|+anthro
distance,5,27,0.4365684634425258,0.5575022872827081,0.40804555009296317,0.4846028738732053,0.45098454685018474,0.3927002245148609,acc,all,False,acc|all|noanthro
distance,3,13,0.4271654053762399,0.565096065873742,0.4301243612781546,0.4347809103029032,0.40524754172450556,0.4291832880372228,gyro,rms,True,gyro|rms|+anthro
distance,21,22,0.42251658474147247,0.5816102470265325,0.4060152575392965,0.46664764171474205,0.4254975717240983,0.38509095124992704,acc+gyro,mean,True,acc+gyro|mean|+anthro
distance,5,9,0.4178878570827316,0.5616651418115279,0.413652672453396,0.4640746953354262,0.3678250006748043,0.3922643506923242,acc,std,False,acc|std|noanthro
distance,9,13,0.4167858402455833,0.5655535224153705,0.4225325292738383,0.4343128066489454,0.39222646429374314,0.40684638613457064,gyro,std,True,gyro|std|+anthro
distance,7,18,0.411907555974945,0.5319762122598353,0.40820319441550784,0.4460022009804774,0.41006961421252236,0.3725510967869383,acc+gyro,rms,False,acc+gyro|rms|noanthro
distance,3,13,0.41056328042629414,0.5404391582799634,0.4441257687947849,0.45493394000447823,0.3289720141730956,0.4137054736833929,acc,mean,True,acc|mean|+anthro
distance,3,54,0.40621319050941923,0.5371454711802379,0.38505581885317497,0.4628226743797706,0.4026904416556953,0.3583222416462261,acc+gyro,all,False,acc+gyro|all|noanthro
distance,5,18,0.40500819982680175,0.5467520585544373,0.37467194355510625,0.4614094548577485,0.3956994138304977,0.3745897326564335,acc+gyro,std,False,acc+gyro|std|noanthro
distance,3,13,0.4043121746216181,0.5504574565416286,0.3879445565715713,0.4360012336542513,0.3904627981553621,0.3933447602236622,gyro,mean,True,gyro|mean|+anthro
distance,3,31,0.402462950958627,0.5457913998170174,0.4078159315742214,0.4402067128944451,0.3873663239799275,0.364904143918942,gyro,all,True,gyro|all|+anthro
distance,7,9,0.3838443669729845,0.5116651418115279,0.3829926725595875,0.4154520791316823,0.39523727662589353,0.33823836607904084,acc,rms,False,acc|rms|noanthro
distance,3,9,0.3616460372539452,0.4959743824336688,0.3510964964783985,0.39437396119201135,0.3603044920796053,0.34060652054785373,gyro,rms,False,gyro|rms|noanthro
distance,3,9,0.36077506278313637,0.494967978042086,0.34625448405512677,0.3940250173988673,0.3612803201947614,0.34122134460065534,gyro,std,False,gyro|std|noanthro
distance,21,18,0.36041304995610574,0.5575022872827081,0.30436060335569887,0.390501996529441,0.41548313520687374,0.3266206016707491,acc+gyro,mean,False,acc+gyro|mean|noanthro
distance,3,27,0.35884023649998126,0.5084172003659653,0.3368990722031795,0.4028945879451211,0.3612813139690232,0.3286510322429724,gyro,all,False,gyro|all|noanthro
distance,3,9,0.3466781133331683,0.4848124428179323,0.3340962001025032,0.4013868411221844,0.35893288382349725,0.286920771588691,acc,mean,False,acc|mean|noanthro
distance,3,9,0.3426764437003195,0.5021957913998171,0.3093862370657711,0.36141345356886617,0.34591197665245454,0.3492406254486635,gyro,mean,False,gyro|mean|noanthro
