mode,k,n_features,macro_f1,accuracy,f1_task0,f1_task1,f1_task2,f1_task3,recipe
distance,5,31,0.4837601112715626,0.5963860933211345,0.45526633096286223,0.5359529811058539,0.4667875267893264,0.46922296438250094,acc|all|+anthro
centralized,5,31,0.48203835771642584,0.6007776761207685,0.4586555704977289,0.5326756242364048,0.4541122122015598,0.46967740514667056,acc|all|+anthro
distance,9,13,0.47378622703580814,0.6013723696248856,0.48353186181587676,0.5029431167815299,0.4230802289630662,0.47239170018733034,acc|rms|+anthro
anthro_boost,11,31,0.4737660503165553,0.604071363220494,0.4485051956115929,0.5329654647360283,0.4416104840893138,0.4648632600272593,acc|all|+anthro
centralized,9,13,0.4691544403193735,0.6025617566331198,0.47912526296993113,0.5005085811172448,0.41921353290659874,0.4639466394068488,acc|rms|+anthro
centralized,7,22,0.468397557931522,0.588975297346752,0.48959945036880664,0.49944932492556005,0.4123315271685593,0.45398289376956186,acc+gyro|rms|+anthro
corr_weighted,3,31,0.4657912098702132,0.5925892040256175,0.4358910469973667,0.4765672124555717,0.4263673997497715,0.48965421673709625,acc|all|+anthro
distance,3,22,0.4653016017433585,0.5802378774016469,0.48856927151389273,0.4961786273949318,0.40628976428369673,0.452048967387521,acc+gyro|rms|+anthro
anthro_boost,11,13,0.464278471699324,0.5909881061299177,0.47732542716312737,0.5042535203223606,0.39061141716105546,0.4778044727575947,acc|rms|+anthro
anthro_boost,9,22,0.4610711168511313,0.584263494967978,0.49623647748495064,0.47528605698811727,0.4053804126292537,0.4524432918370614,acc+gyro|rms|+anthro
corr_weighted,11,13,0.4577536273323291,0.593092406221409,0.4223522593951479,0.5047160469713221,0.41949920388145484,0.47759660432674655,acc|rms|+anthro
corr_weighted,3,58,0.45329941732023354,0.5757548032936871,0.41690769851113624,0.5109276751588973,0.39866928403706864,0.4590897052613708,acc+gyro|all|+anthro
anthro_boost,3,58,0.4532107060244484,0.5842177493138152,0.4355442714604488,0.5184914841705606,0.3904060684820321,0.43676511526972067,acc+gyro|all|+anthro
corr_weighted,7,22,0.45225576488955593,0.5813357731015554,0.44041175143546624,0.4902526268723452,0.41087654471552854,0.4457425989643058,acc+gyro|rms|+anthro
distance,3,58,0.4484659038931178,0.5738334858188472,0.4332708068782796,0.517138389971639,0.4168099192239217,0.4037277685005726,acc+gyro|all|+anthro
centralized,3,58,0.43996543665562066,0.5803293687099725,0.4291733869997871,0.506057875886715,0.3956451284281852,0.39947218118052136,acc+gyro|all|+anthro
