Feature,Min,Q1,Median,Q3,Max,IQR,Mean,Std
trunk_Accelerometer.X_Mean,-0.9499,0.9563,0.9807,0.9938,1.0262,0.0375,0.8167,0.5194
trunk_Accelerometer.X_Std,0.0143,0.0586,0.0775,0.103,0.3584,0.0444,0.0917,0.0619
trunk_Accelerometer.X_RMS,0.8281,0.9607,0.9846,0.9969,1.0264,0.0362,0.9735,0.0346
trunk_Accelerometer.Y_Mean,-0.4067,-0.1393,-0.0868,-0.0225,0.1621,0.1167,-0.0792,0.0954
trunk_Accelerometer.Y_Std,0.0432,0.1533,0.185,0.2102,0.353,0.0569,0.1848,0.0489
trunk_Accelerometer.Y_RMS,0.0666,0.1828,0.2083,0.253,0.5374,0.0702,0.22,0.0594
trunk_Accelerometer.Z_Mean,-0.3113,-0.1435,-0.0805,0.0484,0.4018,0.1919,-0.0444,0.1457
trunk_Accelerometer.Z_Std,0.0328,0.0801,0.097,0.1166,0.2907,0.0366,0.1026,0.0373
trunk_Accelerometer.Z_RMS,0.0354,0.1189,0.1525,0.2183,0.4919,0.0994,0.1727,0.0728
trunk_Gyroscope.X_Mean,-6.121,-1.4676,-1.2443,-0.8984,2.9599,0.5692,-1.1431,0.7572
trunk_Gyroscope.X_Std,12.8822,21.7144,25.4419,30.6461,52.8124,8.9317,26.6376,7.1949
trunk_Gyroscope.X_RMS,12.9531,21.7511,25.4662,30.6791,52.8198,8.9281,26.6753,7.1857
trunk_Gyroscope.Y_Mean,-2.9594,-1.1426,-0.952,-0.7704,1.016,0.3722,-0.9105,0.429
trunk_Gyroscope.Y_Std,4.2427,9.5925,11.6762,14.0357,41.8717,4.4432,12.8164,5.8272
trunk_Gyroscope.Y_RMS,4.3483,9.651,11.7654,14.0825,41.9239,4.4316,12.8603,5.8173
trunk_Gyroscope.Z_Mean,-2.1774,0.1472,0.3608,0.4956,1.5439,0.3484,0.2655,0.4399
trunk_Gyroscope.Z_Std,4.2709,13.4941,16.4838,19.3531,67.7769,5.8591,18.1458,9.2359
